entity_id,entity_type,fiware_servicepath,temperature_1,time_index
mkr1300-14004-01,Waste,/rabanales,108.0,1573120567000
mkr1300-14004-01,Waste,/rabanales,109.0,1573121045000
mkr1300-14004-01,Waste,/rabanales,109.0,1573121176000
mkr1300-14004-01,Waste,/rabanales,108.0,1573122044000
mkr1300-14004-01,Waste,/rabanales,108.0,1573127141000
mkr1300-14004-01,Waste,/rabanales,108.0,1573127545000
mkr1300-14004-01,Waste,/rabanales,108.0,1573127750000
mkr1300-14004-01,Waste,/rabanales,108.0,1573128008000
mkr1300-14004-01,Waste,/rabanales,41.0,1573130588000
mkr1300-14004-01,Waste,/rabanales,41.0,1573130802000
mkr1300-14004-01,Waste,/rabanales,41.0,1573131534000
mkr1300-14004-01,Waste,/rabanales,41.0,1573131672000
mkr1300-14004-01,Waste,/rabanales,41.0,1573131803000
mkr1300-14004-01,Waste,/rabanales,31.0,1573135326000
mkr1300-14004-01,Waste,/rabanales,30.0,1573135935000
mkr1300-14004-01,Waste,/rabanales,31.0,1573136279000
mkr1300-14004-01,Waste,/rabanales,31.0,1573136409000
mkr1300-14004-01,Waste,/rabanales,31.0,1573136891000
mkr1300-14004-01,Waste,/rabanales,31.0,1573137630000
mkr1300-14004-01,Waste,/rabanales,31.0,1573139594000
mkr1300-14004-01,Waste,/rabanales,31.0,1573139721000
mkr1300-14004-01,Waste,/rabanales,31.0,1573140331000
mkr1300-14004-01,Waste,/rabanales,31.0,1573144339000
mkr1300-14004-01,Waste,/rabanales,31.0,1573144605000
mkr1300-14004-01,Waste,/rabanales,31.0,1573144818000
mkr1300-14004-01,Waste,/rabanales,31.0,1573145215000
mkr1300-14004-01,Waste,/rabanales,31.0,1573145555000
mkr1300-14004-01,Waste,/rabanales,31.0,1573146033000
mkr1300-14004-01,Waste,/rabanales,31.0,1573146163000
mkr1300-14004-01,Waste,/rabanales,31.0,1573146432000
mkr1300-14004-01,Waste,/rabanales,31.0,1573146785000
mkr1300-14004-01,Waste,/rabanales,31.0,1573152870000
mkr1300-14004-01,Waste,/rabanales,31.0,1573154230000
mkr1300-14004-01,Waste,/rabanales,31.0,1573155440000
mkr1300-14004-01,Waste,/rabanales,31.0,1573156052000
mkr1300-14004-01,Waste,/rabanales,31.0,1573156063000
mkr1300-14004-01,Waste,/rabanales,31.0,1573156395000
mkr1300-14004-01,Waste,/rabanales,31.0,1573156527000
mkr1300-14004-01,Waste,/rabanales,31.0,1573157619000
mkr1300-14004-01,Waste,/rabanales,31.0,1573158010000
mkr1300-14004-01,Waste,/rabanales,31.0,1573161277000
mkr1300-14004-01,Waste,/rabanales,31.0,1573161673000
mkr1300-14004-01,Waste,/rabanales,31.0,1573162149000
mkr1300-14004-01,Waste,/rabanales,31.0,1573162287000
mkr1300-14004-01,Waste,/rabanales,31.0,1573162625000
mkr1300-14004-01,Waste,/rabanales,31.0,1573163502000
mkr1300-14004-01,Waste,/rabanales,31.0,1573164115000
mkr1300-14004-01,Waste,/rabanales,31.0,1573164718000
mkr1300-14004-01,Waste,/rabanales,31.0,1573164726000
mkr1300-14004-01,Waste,/rabanales,31.0,1573170552000
mkr1300-14004-01,Waste,/rabanales,31.0,1573170683000
mkr1300-14004-01,Waste,/rabanales,31.0,1573172386000
mkr1300-14004-01,Waste,/rabanales,31.0,1573172522000
mkr1300-14004-01,Waste,/rabanales,31.0,1573172647000
mkr1300-14004-01,Waste,/rabanales,31.0,1573173126000
mkr1300-14004-01,Waste,/rabanales,31.0,1573173135000
mkr1300-14004-01,Waste,/rabanales,31.0,1573173610000
mkr1300-14004-01,Waste,/rabanales,31.0,1573172514000
mkr1300-14004-01,Waste,/rabanales,31.0,1573177269000
mkr1300-14004-01,Waste,/rabanales,31.0,1573178134000
mkr1300-14004-01,Waste,/rabanales,31.0,1573178486000
mkr1300-14004-01,Waste,/rabanales,31.0,1573178616000
mkr1300-14004-01,Waste,/rabanales,31.0,1573179231000
mkr1300-14004-01,Waste,/rabanales,31.0,1573179360000
mkr1300-14004-01,Waste,/rabanales,31.0,1573179708000
mkr1300-14004-01,Waste,/rabanales,31.0,1573180793000
mkr1300-14004-01,Waste,/rabanales,31.0,1573182145000
mkr1300-14004-01,Waste,/rabanales,31.0,1573187638000
mkr1300-14004-01,Waste,/rabanales,31.0,1573187768000
mkr1300-14004-01,Waste,/rabanales,31.0,1573188510000
mkr1300-14004-01,Waste,/rabanales,31.0,1573188985000
mkr1300-14004-01,Waste,/rabanales,31.0,1573189590000
mkr1300-14004-01,Waste,/rabanales,31.0,1573189598000
mkr1300-14004-01,Waste,/rabanales,31.0,1573189726000
mkr1300-14004-01,Waste,/rabanales,31.0,1573191158000
mkr1300-14004-01,Waste,/rabanales,31.0,1573191424000
mkr1300-14004-01,Waste,/rabanales,31.0,1573194475000
mkr1300-14004-01,Waste,/rabanales,31.0,1573194815000
mkr1300-14004-01,Waste,/rabanales,31.0,1573195687000
mkr1300-14004-01,Waste,/rabanales,31.0,1573195824000
mkr1300-14004-01,Waste,/rabanales,31.0,1573196167000
mkr1300-14004-01,Waste,/rabanales,31.0,1573196177000
mkr1300-14004-01,Waste,/rabanales,31.0,1573196436000
mkr1300-14004-01,Waste,/rabanales,31.0,1573196644000
mkr1300-14004-01,Waste,/rabanales,31.0,1573196653000
