entity_id,entity_type,fiware_servicepath,irms1,pap1,time_index,vrms1
wibee-14004-01,Energy,/rabanales,1.17,262.43,1573408385000,224.69
wibee-14004-01,Energy,/rabanales,1.21,269.92,1573409285000,223.83
wibee-14004-01,Energy,/rabanales,1.22,274.46,1573410486000,224.14
wibee-14004-01,Energy,/rabanales,1.21,269.97,1573411386000,223.45
wibee-14004-01,Energy,/rabanales,1.29,288.54,1573413487000,222.99
wibee-14004-01,Energy,/rabanales,1.27,284.07,1573413787000,223.36
wibee-14004-01,Energy,/rabanales,1.66,379.91,1573429091000,229.36
wibee-14004-01,Energy,/rabanales,1.22,280.03,1573433893000,230.39
wibee-14004-01,Energy,/rabanales,1.25,283.59,1573435393000,226.42
wibee-14004-01,Energy,/rabanales,1.21,273.36,1573438994000,226.74
wibee-14004-01,Energy,/rabanales,1.23,277.79,1573440195000,226.49
wibee-14004-01,Energy,/rabanales,1.2,271.17,1573441095000,226.86
wibee-14004-01,Energy,/rabanales,1.04,235.31,1573430892000,227.3
wibee-14004-01,Energy,/rabanales,1.24,282.42,1573431192000,226.9
wibee-14004-01,Energy,/rabanales,1.21,275.7,1573437494000,227.44
wibee-14004-01,Energy,/rabanales,7.28,1636.18,1573451598000,224.83
wibee-14004-01,Energy,/rabanales,7.36,1648.31,1573452499000,224.08
wibee-14004-01,Energy,/rabanales,1.79,400.29,1573455200000,223.46
wibee-14004-01,Energy,/rabanales,2.61,584.91,1573455500000,223.96
wibee-14004-01,Energy,/rabanales,3.01,675.11,1573455800000,224.01
wibee-14004-01,Energy,/rabanales,8.86,1966.25,1573457000000,221.97
wibee-14004-01,Energy,/rabanales,1.25,278.06,1573457900000,222.68
wibee-14004-01,Energy,/rabanales,1.26,281.91,1573458201000,223.33
wibee-14004-01,Energy,/rabanales,1.24,279.0,1573459401000,224.85
wibee-14004-01,Energy,/rabanales,1.25,282.64,1573467203000,226.34
wibee-14004-01,Energy,/rabanales,1.25,282.87,1573467503000,226.17
wibee-14004-01,Energy,/rabanales,1.29,292.42,1573468404000,226.93
wibee-14004-01,Energy,/rabanales,1.28,289.97,1573468704000,226.08
wibee-14004-01,Energy,/rabanales,1.28,288.74,1573469904000,225.79
wibee-14004-01,Energy,/rabanales,1.28,291.24,1573470504000,226.84
wibee-14004-01,Energy,/rabanales,1.25,282.82,1573471105000,226.25
wibee-14004-01,Energy,/rabanales,1.26,284.52,1573466903000,226.3
wibee-14004-01,Energy,/rabanales,1.28,288.7,1573466303000,225.9
wibee-14004-01,Energy,/rabanales,7.17,1621.54,1573482508000,226.24
wibee-14004-01,Energy,/rabanales,10.38,2348.75,1573483708000,226.32
wibee-14004-01,Energy,/rabanales,7.08,2020.61,1573482808000,226.43
wibee-14004-01,Energy,/rabanales,1.64,374.12,1573485809000,227.55
wibee-14004-01,Energy,/rabanales,10.73,2433.94,1573487910000,226.6
wibee-14004-01,Energy,/rabanales,1.39,317.01,1573488510000,227.96
wibee-14004-01,Energy,/rabanales,1.36,307.34,1573489710000,226.34
wibee-14004-01,Energy,/rabanales,1.29,293.95,1573487009000,227.41
