145,64.5,19.3,1.54,2021-04-22T12:08:41.000
146,63.5,19.4,2.45,2021-04-22T12:13:42.000
147,61.0,19.6,1.14,2021-04-22T12:18:42.000
148,63.5,19.3,1.54,2021-04-22T12:23:42.000
149,60.5,19.7,1.99,2021-04-22T12:28:42.000
150,60.0,20.3,1.74,2021-04-22T12:33:42.000
151,58.5,20.6,2.87,2021-04-22T12:38:42.000
152,57.5,20.7,2.83,2021-04-22T12:43:43.000
153,60.0,20.5,1.63,2021-04-22T12:48:43.000
154,58.0,20.8,1.57,2021-04-22T12:53:43.000
155,55.0,21.5,2.37,2021-04-22T12:58:44.000
156,55.0,21.3,2.33,2021-04-22T13:03:44.000
157,54.0,20.8,3.64,2021-04-22T13:08:44.000
158,54.5,21.0,1.45,2021-04-22T13:13:44.000
159,53.5,21.3,2.25,2021-04-22T13:18:44.000
160,56.5,20.7,1.46,2021-04-22T13:23:45.000
161,57.0,20.8,2.37,2021-04-22T13:28:45.000
162,54.5,21.1,2.36,2021-04-22T13:33:45.000
163,55.5,1.6,2.27,2021-04-22T13:38:45.000
164,56.0,20.6,1.24,2021-04-22T13:43:45.000
165,58.0,20.6,0.94,2021-04-22T13:48:45.000
166,55.5,21.2,1.02,2021-04-22T13:53:46.000
167,54.5,21.3,2.55,2021-04-22T13:58:46.000
168,55.0,21.1,2.46,2021-04-22T14:03:47.000
169,53.0,21.2,1.32,2021-04-22T14:08:48.000
170,51.5,21.4,1.85,2021-04-22T14:13:48.000
171,51.0,21.7,1.49,2021-04-22T14:18:48.000
172,53.5,21.6,2.95,2021-04-22T14:23:48.000
173,50.5,21.8,1.32,2021-04-22T14:28:48.000
174,49.0,21.8,2.75,2021-04-22T14:33:49.000
175,49.0,21.7,1.57,2021-04-22T14:38:49.000
176,47.5,22.1,2.42,2021-04-22T14:43:49.000
177,49.0,21.8,2.54,2021-04-22T14:48:50.000
178,49.5,21.4,3.2,2021-04-22T14:53:50.000
179,49.5,21.8,1.17,2021-04-22T14:58:50.000
180,48.0,21.8,1.59,2021-04-22T15:03:51.000
181,50.0,21.8,1.91,2021-04-22T15:08:51.000
182,48.5,21.7,2.1,2021-04-22T15:13:51.000
183,49.0,21.6,1.67,2021-04-22T15:18:52.000
184,47.5,22.0,2.46,2021-04-22T15:23:52.000
185,48.0,21.8,1.77,2021-04-22T15:28:52.000
186,47.5,22.2,1.75,2021-04-22T15:33:52.000
187,47.0,22.6,2.05,2021-04-22T15:38:53.000
188,46.5,22.4,2.26,2021-04-22T15:43:53.000
189,47.0,22.3,2.48,2021-04-22T15:48:53.000
190,48.5,22.3,2.29,2021-04-22T15:53:54.000
191,48.0,22.2,1.3,2021-04-22T15:58:54.000
192,51.0,21.9,0.44,2021-04-22T16:03:55.000
193,50.0,21.8,0.66,2021-04-22T16:08:55.000
194,49.0,21.7,0.37,2021-04-22T16:13:55.000
195,48.5,21.9,0.67,2021-04-22T16:18:55.000
196,47.0,22.2,1.07,2021-04-22T16:23:56.000
